標題,連結,內文,來源,時間
氣象局發布多個警報！中南部9縣市大雨特報台中溪水暴漲警戒| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1qZmFUS0RiVWFFUzBiMmVNVGM0Z1VfRHlveldXZE45bEFpblpLbDhMQzc3SjNzWmNTQ2praTJsSTRReGhmYkhSMXJ4VUdYUFhnSml3ekw0ZWV5QQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中央氣象署今（1）日下午針對台灣中南部地區發布一系列天氣警報，包括對台中以南 9 個縣市的大雨特報，以及苗栗縣、台中市、南投縣的大雷雨即時訊息。更值得注意的是，氣象署特別針對台中市發布山區暴雨溪水暴漲警示，呼籲民眾迅速遠離溪流區域。
大雨特報範圍包括：台中市、南投縣、彰化縣、雲林縣、嘉義縣市、台南市、高雄市、屏東縣。氣象署針對苗栗縣、台中市、南投縣發布大雷雨即時訊息，提醒民眾慎防劇烈降雨、雷擊，溪（河）水暴漲，低窪地區慎防淹水，以及低能見度。此警示持續至 16 時 00 分止。
此外，氣象署還發布了針對台中市的「大雷雨即時訊息」和「山區暴雨之溪水暴漲警示」。警示內容指出，台中市附近有暴雨發生的機率，提醒民眾留意溪水暴漲並儘速遠離溪流。這項警示預計持續至當日下午 4 時 54 分。
氣象署呼籲民眾密切關注最新天氣資訊，並採取必要的安全防護措施。
氣象署今（1）日下午針對台灣中南部地區發布一系列天氣警報，包括對台中以南 9 個縣市的大雨特報。   圖：翻攝自氣象署網站
氣象局今發布中南部大雨警報，特別提醒台中山區暴雨可能引發溪水暴漲，請民眾避開溪流地帶。   圖：翻攝自氣象署網站",Newtalk新聞,22 天前
奈及利亞大洪水逾20萬人流離失所170人死亡、蘇丹大雨大壩倒塌災情慘重| 國際,https://news.google.com/read/CBMiWkFVX3lxTE5rLXpiQktQLVZSVzI2dWJuNDZnWl85NFh6UE91eWllOVNsYVJuNThJTDI4WERHVUpfLV96TE5aMUhISDRFVUtndTNSZmZiWjdZN2N5cUxkVVA5dw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"綜合外媒報導，近日蘇丹因暴雨和潰壩引發的洪水，造成的死亡人數已上升至 132 人。據政府委員會表示，洪水摧毀了 10 個省份的 12,000 多座房屋，超過 30,000 個家庭受到影響。另外，奈及利亞也陷入大淹水。
8 月 26 日，聯合國緊急救援機構報告指出，蘇丹西北部紅海州的阿爾巴特大壩倒塌事故造成至少 30 人死亡。聯合國人道事務協調辦公室（OCHA）警告，已經飽受內戰困擾的蘇丹，許多人仍失蹤和流離失所，洪水遭成的死亡人數可能會進一步上升。
人道協調廳強調，通訊網絡的損壞使得準確資訊的收集變得困難。此外，受損的大壩是蘇丹港的主要淡水來源，其損壞將影響供水，進一步惡化紅海區域的人道主義。自 6 月以來的洪水已經導致超過 10 萬人流離失所，並加劇該國的內政破壞性的分裂。人道協調廳 7 月表示，蘇丹全國一半以上的人口仍面臨嚴重飢餓。
科學家指出，人為造成的氣候變化使極端天氣事件愈加頻繁，蘇丹是受氣候影響最嚴重的國家之一，面臨致命的降雨、洪水及乾旱。
與此同時，奈及利亞的洪水也造成了至少170人死亡，超過 20 萬人流離失所。國家緊急事務管理局（NEMA）表示，北部地區受災最為嚴重，但全國各地仍面臨風險。奈及利亞水文服務局（NIHSA）預警，來自鄰國的洪水有可能進一步影響該國，並敦促沿尼日河的州保持警惕。
根據最新數據，非洲洪災已造成近 2,000 人傷亡，並摧毀了超過 10 萬公頃的農地。人道協調廳的報告指出，該地區的災情仍在加劇，急需國際社會的關注與援助。
 
 
蘇丹內戰仍在持續中，街道殘破不勘   圖：美聯社／達志影像
非洲人口最多的奈及利亞連月降雨釀河水暴漲   圖：美聯社／達志影像",Newtalk新聞,8月28日
豪雨特報！17縣市受警示豪雨狂轟新北基隆注意坍方落石| 生活,https://news.google.com/read/CBMiWkFVX3lxTE5TdnFoZWVFQlh6Zk8wZWlmMmw3cTB2T2UxakJFcER3X2taNVJ2VVlDQmVsRGE3M0FOZ2xYejhQcEIwTkRTNHZReV9OekJ4NDV0bVBtTC1oUGVIQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"全台17縣市大雨壟罩，氣象署晚間20時15分更新豪雨特報，受鋒面及低壓帶影響，易有短延時強降雨，今晚至明天基隆北海岸及新北市山區有局部豪雨或大豪雨；宜蘭、台北、台南、高雄、屏東則注意豪雨。
中央氣象署針對17縣市發布示警，今天晚間至明天北海岸及新北市山區有局部豪雨或大豪雨，基隆市、臺北市、新北市、宜蘭縣、臺南市、高雄市、屏東縣有局部大雨或豪雨，桃園、新竹、彰化至嘉義地區、澎湖、金門、馬祖及花蓮山區有局部大雨發生的機率，請注意雷擊及強陣風，低窪地區請慎防淹水，山區請注意坍方、落石、土石流及溪水暴漲。大豪雨地區：新北市。
氣象署提醒，雨區範圍注意雷擊及強陣風，低窪地區慎防淹水，山區注意坍方、落石、土石流及溪水暴漲。",Newtalk新聞,18 小時前
19縣市大雨特報！氣象署：6縣市大雷雨持續一小時| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1PcUFpYTlVeWhzYXlNOThBZmhGQUxCcm55dnMwcFJoWWFHU05GazVqbExqYWJaYnFibGExNjlucUhSRjFXdlc2YTlwTFlrVkpaUFh4NFlCTFg3UQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"午後對流雲系發展旺盛，易有短延時強降雨，今(8)日台灣各地有局部大雨發生的機率，請注意雷擊及強陣風。中央氣象署並針對6縣市發布大雷雨即時消息，持續時間將至15時30分止。
氣象署針對19縣市持續發布大雨特報，範圍包括基隆北海岸、台北市、新北市、桃園市、新竹市、新竹縣、苗栗縣、台中市、彰化縣、南投縣、雲林縣、嘉義市、嘉義縣、台南市、高雄市、屏東縣、恆春半島、宜蘭縣、花蓮縣、台東縣
氣象署也針對，「新北市、桃園市、新竹縣、嘉義縣、台南市、苗栗縣」發布大雷雨即時訊息，持續時間至15時30分止，氣象署說旺盛發展的對流常伴隨打雷、閃電與劇烈降雨，並可能出現較強陣風甚或伴隨冰雹發生，若發生於溪流河川上游易於下游出現溪(河)水暴漲。
氣象署針對19縣市持續發布大雨特報。   圖：翻攝自中央氣署官網",Newtalk新聞,15 天前
台灣今明高溫飆38度! 珊珊颱風恐降「前所未見」超大豪雨整死日本| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBBbGo1RHlmTHRBZFZMRGlIcG5NVGN3QzdILWtSQjBoQVpDUTktempjbjlFNXBENnVmVmVYcFREODdWZHpnT2xTaXpkbjVfMFJLRV9jQWhBSlhqZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中央氣象署持續發布高溫資訊，今（27）天全台天氣高溫炎熱，中午前後台北市、新北市、屏東縣、台東縣為黃色燈號。另一方面，第10號中度颱風「珊珊」預計將對日本造成劇烈影響，可能接續沿路襲擊西日本及東日本，且由於行進速度緩慢，可能帶來多日強烈降雨，甚至打破歷史紀錄，尤其是九州地區須提高警覺，28至29日的48小時內，雨量預估來到600mm，比現存的歷史觀測紀錄高出150%。
氣象署表示，今天水氣減少，台灣各地及澎湖、金門、馬祖為晴到多雲的天氣，環境逐漸轉吹西南風，清晨中南部地區有零星降雨的機率，而午後熱對流降雨範圍縮小，主要在各山區有局部短暫雷陣雨，前往山區溪澗附近活動需留意溪水暴漲；氣溫方面，各地高溫普遍為32至35度，感受上高溫悶熱，局部溫度會再更高一些，且近中午前後紫外線偏強，外出務必做好防曬並多補充水份。
中央大學大氣科學系兼任副教授吳德榮在「洩天機教室」專欄提到，今明兩天太平洋高壓雖減弱、因珊珊外圍沉降增溫，台灣各地晴朗無雲，紫外線強、最高溫恐達37、38度，應注意防曬、防中暑。週四至下週日盛行西南及偏南風、天氣仍偏熱，注意防曬、防中暑；與陸風輻合、清晨西半部偶有局部短暫陣雨，午後近山區局部雷陣雨發展，並擴展至部分平地，有局部性大雷雨發生的機率。
氣象署指出，中颱珊珊清晨2點位於台北東北東方1010公里之海面上，目前颱風與其外圍環流正在影響琉球群島及其附近海域，並向西北轉北北西前進，預估本週將影響日本。吳德榮說，中颱珊珊已有清晰的颱風眼，在日本九州南方海面，受太平洋高壓導引，向西北西逐漸轉北，明、後天再逐漸大迴轉，登陸九州前威力達最強，之後受地形破壞、逐漸減弱。各國官方預測圖顯示，將有2次或3次登陸日本（先登陸九州、再四國、或本州）的機率。若有日本行程，應密切注意颱風動態。
日本氣象協會警告，珊珊颱風帶來的溫暖濕空氣將陸續從日本西部影響至東部，從28日起就會有明顯降雨，珊珊颱風的行進速度緩慢，因此停滯時間變長，連日大雨可能造成河川氾濫、土石流等災害。九州地區從28日開始面臨紀錄性大雨，在28、29日這段期間，48小時內雨量估計達到600mm，比起現存紀錄高出150%；四國、東海地區則會從29日至31陸續迎來大雨。靜岡大學教授牛山素行提醒，本次大雨可能出現大型災害，甚至天災受害者會大量出現。
珊珊颱風恐在日本降下歷史性大雨。   圖：翻攝日本氣象協會",Newtalk新聞,8月27日
快訊》雨區再擴大！ 14縣市大雨特報2縣市防大雷雨| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBCMzU0TjlsWFNjYlV2cXBTU3VZbEJCTDZIZTZHY1NHbDZiYllKMDFLTjcyQkJ4M0J3OTJuWVZ6Z2haeDkzR3FYY2dLZFRWUF96V3JrVnRWemk5QQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"對流雲系發展旺盛，易有短延時強降雨，今（14）日桃園以北、南投、彰化至高雄地區及新竹至台中山區有局部大雨發生的機率，注意雷擊及強陣風，山區慎防坍方及落石，低窪地區慎防積水。
氣象署針對「嘉義縣、台南市」發布大雷雨即時訊息，持續時間至中午12時30分止。氣象署說，旺盛發展的對流常伴隨打雷、閃電與劇烈降雨，並可能出現較強陣風甚、或伴隨冰雹發生，若發生於溪流河川上游易於下游出現溪（河）水暴漲，排水不良區域則易發生淹（積）水現象，強大雨勢威脅各項戶外活動並將造成能見度欠佳影響行車安全，山區易發生坍方、落石、土石流。
今(14)日桃園以北、南投、彰化至高雄地區及新竹至台中山區有局部大雨發生的機率。   圖：翻攝自中央氣象署官網",Newtalk新聞,9 天前
連日大雨襲中東歐 30年最嚴重洪水釀至少8死 直擊災情現場,https://news.google.com/read/CBMi-gJBVV95cUxPVVNXVGU0VGRsdG00M2dzM1h4T0JrQmxvb0ZKa2JnZGNNemc3NzhsUzJ0dllrTGVEREszQWo1a2JUTzZxM2wtT0hBREFna3VwUFJnenAzNG9XR1V2cnItNGQ2LXRxMnF5VXU3MTRJV0pQOS1qQi1nc0lYa3pGWkY0czMzNlJReU1QeG5IT0FHU1pVeFlIVGZZTnFRak9YTy1xUU9UeHBXcjNsM2RTUnh3MThHSHhTTERLQVZmT2hyNThnTVAyNXdhQnZ6YllfR2xaakh3d3BpclI2bFdmcU1FQmlvLTI0SVNzY2xIRTM0c3ltTVN0U2JzWnNnQmpaR25VMFVWYkNRYXVVei1LUmNpQWY2YlJtT3BVN3g2VmhhcVNIekpRQTV0cjRQbDAxRTZvclBwM1Nxb0lYRzVabHB0UlhwcVB6S0N3YzZoSkRFSUFFXzFaZUpkVWh4NUZtRkc5ZEppNi02dDVsNDZoR1dXNExPSnVqOFNQNUE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"風暴波瑞斯（Storm Boris）為中東歐帶來連日大雨，捷克、波蘭等出現近30年最嚴重的洪患，截至9月15日，中歐地區至少已8死，數千房屋被破壞、25萬戶停電。羅馬尼亞首當其衝，洪水退去後，居民行走在遭蹂躪後的家園，無語問蒼天；而波蘭河流一夜之間水位暴漲，有的甚至超出警戒水位快3倍，沖垮鐵橋，當局宣布進入災難狀態，並請求歐盟支援。
捷克亦災情慘重，湍急的洪水流過大街小巷，部分地區通信中斷，當局已緊急疏散上萬人。然而，大雨仍未止息，在匈牙利首都布達佩斯，當局預計本周多瑙河水位將上漲超過8.5公尺，接近2013年8.91公尺的紀錄。
BBC指出，波瑞斯之所以如此具破壞性的原因，首先是地中海、黑海海水異常高溫，來自北方的冷空氣與溫暖的溼氣混合在一起；其次，低壓被困在西部和東部的高壓之間，陷入「阻塞模式」。自2021年西歐極端洪災後，專家表示歐洲發生類似事件的可能性和強度正在增加。",Yahoo奇摩新聞,7 天前
15縣市大雨特報！氣象署：雨勢持續到晚間| 生活,https://news.google.com/read/CBMiWkFVX3lxTFB0U3Q4WXkzVno0NGpYTGhpWVdNc2RMZlBRMEJPOVFoQVM4WWJ3c2NNY3FCR3JhaWdxMUtBRmxzZ2hsNE1jSXI5Q3p2RE1wTDgtcWFaeEVFZ2Y3UQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"對流雲系發展旺盛，易有短延時強降雨，花蓮、台東、屏東地區及各地山區今(25)日有局部大雨發生的機率，請注意雷擊及強陣風，山區請慎防坍方及落石。
中央氣象署針對15縣市發布大雨特報，範圍包括：台北市山區、新北市山區、桃園市山區、新竹縣山區、苗栗縣山區、台中市山區、南投縣山區、雲林縣山區、嘉義縣山區、台南市山區、高雄市山區、屏東縣、恆春半島、宜蘭縣山區、花蓮縣、台東縣。",Newtalk新聞,8月25日
雙北周末下雨淹水「上班日雨停了」！氣象專家：今北台灣仍有較大雨勢出現機會| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBuUzRGY3htZkdrTmtvOXlSVTB4dzFweXAxU3VjazhDMDhrNXFtOWVoekFrbnFUb0NFaFRER2RRRnR1OEJWNTNwWWFjRDV4OEpoZHRXR1ZaX3NOQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"受到熱帶性低氣壓影響，全台灣周末降下豪大雨，北台灣在周日(22日)更有部分地區出現300毫米以上的降雨，使得基隆河沿線水位高漲，部分地區出現積淹水，不過，今(23)早上班日雨勢趨緩。天氣風險公司氣象部經理吳聖宇提醒，今日北台灣天氣仍然不穩定，仍有較大雨勢出現機會。
吳聖宇表示，週日台灣南北呈現兩個降雨熱區，南邊這個來自於西南季風迎風面降雨造成，北邊這個則是來自南北風對峙的滯留鋒面尾端上旺盛發展的對流胞降雨所造成。北邊這個雨區有共伴效應的味道，不過南邊的水氣來源不是颱風，而是整個低壓帶牽引的西南季風，遇上北邊東北季風南下，就在北台灣上空形成非常不穩定的環境，伴隨鋒生、對流胞發展而造成劇烈降雨，降雨量並不亞於西南季風迎風面的南台灣。
吳聖宇提到，22日下半夜到23日隨著太平洋高壓增強，西南季風強風軸會向西調整，慢慢離開台灣上空，中部以南地區雨勢會逐漸趨緩，但是一直到23日仍將持續會有短暫陣雨出現機會。
吳聖宇強調，北部、東北部這個滯留鋒面尾端的不穩定環境則是將會持續到23日白天，要等到晚上太平洋高壓持續增強，南風取得更大的優勢之後，才會逐漸向北離開。因此23日北台灣天氣仍然不穩定，仍有較大雨勢出現機會。
吳聖宇指出，週二(24日)高壓偏南風為主要影響台灣天氣的系統，天氣型態可望趨向夏季型比較正常的午後雷雨天氣。這波雨勢將持續到23日，持續提醒大家提高警覺，留意可能發生的強降雨現象。",Newtalk新聞,8 小時前
快訊》大雨特報再擴大！4縣市大雷雨再轟1小時氣象署發災防告警| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9JN2o3RDZRbmNSTWh0ZXktTVhKa3gyOFF4NEJCNDF3N3J3b0k0UmFDTUUyTTYxTEZmaVl4M0h1cjJwbWxmZVE4NEZqdTRtYXA3S3lWRzNWSlRzQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"午後對流雲系發展旺盛，易有短延時強降雨，今(31)日高雄、屏東、台東地區及台中、南投、雲林以南山區有局部大雨發生的機率，請注意雷擊及強陣風，山區慎防坍方、落石及溪水暴漲，低窪地區慎防積水。同時中央氣象署也針對4縣市發布大雷雨即時消息及災防告警。
氣象署針對8縣市發布大雨特報，範圍包括台中市山區、南投縣山區、雲林縣山區、嘉義縣山區、台南市山區、高雄市、屏東縣、恆春半島、台東縣。因對流影響，氣象署也特別針對「嘉義縣、台南市、高雄市、屏東縣」發布大雷雨即時訊息，持續時間至17時30分止。
氣象署也針對台南市、屏東縣發布災防告警，氣象署表示，旺盛發展的對流常伴隨打雷、閃電與劇烈降雨，並可能出現較強陣風甚或伴隨冰雹發生，若發生於溪流河川上游易於下游出現溪(河)水暴漲。
今(31)日高雄、屏東、台東地區及台中、南投、雲林以南山區有局部大雨發生的機率。   圖：翻攝自中央氣象署官網",Newtalk新聞,8月31日
